0,1,2
British Blues,spotify:user:particledetector:playlist:6wMGnUiQD1yf3G9Ft0f3rD,http://open.spotify.com/user/particledetector/playlist/6wMGnUiQD1yf3G9Ft0f3rD
British Dance Band,spotify:user:particledetector:playlist:3UqK3ejomxITxRvK9N0Mhn,http://open.spotify.com/user/particledetector/playlist/3UqK3ejomxITxRvK9N0Mhn
British Invasion,spotify:user:particledetector:playlist:2884AlchLX6yoeX2L7wb5g,http://open.spotify.com/user/particledetector/playlist/2884AlchLX6yoeX2L7wb5g
Britpop,spotify:user:particledetector:playlist:3dSDip8Jr7smldOrvb34bb,http://open.spotify.com/user/particledetector/playlist/3dSDip8Jr7smldOrvb34bb
Broken Beat,spotify:user:particledetector:playlist:27mpDGDImXQUy6Ds4KqWbw,http://open.spotify.com/user/particledetector/playlist/27mpDGDImXQUy6Ds4KqWbw
Brutal Death Metal,spotify:user:particledetector:playlist:38RjBEsjLy9rvijg6zEJ03,http://open.spotify.com/user/particledetector/playlist/38RjBEsjLy9rvijg6zEJ03
Bubblegum Dance,spotify:user:particledetector:playlist:6vLY9e1YRvdHFddpaXi8Qy,http://open.spotify.com/user/particledetector/playlist/6vLY9e1YRvdHFddpaXi8Qy
Bubblegum Pop,spotify:user:particledetector:playlist:6pAb9ImimhtSqGIcIX89Ct,http://open.spotify.com/user/particledetector/playlist/6pAb9ImimhtSqGIcIX89Ct
C-Pop,spotify:user:particledetector:playlist:7KtTTZxbGsAGLKlY25EC00,http://open.spotify.com/user/particledetector/playlist/7KtTTZxbGsAGLKlY25EC00
C86,spotify:user:particledetector:playlist:5I6AHX9STVUcJW0cFlL1y9,http://open.spotify.com/user/particledetector/playlist/5I6AHX9STVUcJW0cFlL1y9
Cabaret,spotify:user:particledetector:playlist:3HkfP4tQPzl5mGLfChDetf,http://open.spotify.com/user/particledetector/playlist/3HkfP4tQPzl5mGLfChDetf
Canadian Hip Hop,spotify:user:particledetector:playlist:3YHbdXnCChUYqtG0VNZfj9,http://open.spotify.com/user/particledetector/playlist/3YHbdXnCChUYqtG0VNZfj9
Candy Pop,spotify:user:particledetector:playlist:5ZThJkWrzYHqYNLjZvqfzN,http://open.spotify.com/user/particledetector/playlist/5ZThJkWrzYHqYNLjZvqfzN
Canterbury Scene,spotify:user:particledetector:playlist:5TRxcus9zg8KJ5fMTJo2Ug,http://open.spotify.com/user/particledetector/playlist/5TRxcus9zg8KJ5fMTJo2Ug
Cantopop,spotify:user:particledetector:playlist:5F89CMViVJAUx1m00BbfaQ,http://open.spotify.com/user/particledetector/playlist/5F89CMViVJAUx1m00BbfaQ
Canzone Napoletana,spotify:user:particledetector:playlist:5vT1SylGnuan9hNgh4jmkV,http://open.spotify.com/user/particledetector/playlist/5vT1SylGnuan9hNgh4jmkV
Capoeira,spotify:user:particledetector:playlist:2JK5ZqfA2WgtzG6iZDsD3J,http://open.spotify.com/user/particledetector/playlist/2JK5ZqfA2WgtzG6iZDsD3J
