city,spotify_link,spotify_web_link
Elmhurst New York US,spotify:user:thesoundsofspotify:playlist:6fqp36sM6ceXvr2ZgexEw6,http://open.spotify.com/user/thesoundsofspotify/playlist/6fqp36sM6ceXvr2ZgexEw6
Elverum NO,spotify:user:thesoundsofspotify:playlist:0kETc6XgDDB8gjDKLZPKoy,http://open.spotify.com/user/thesoundsofspotify/playlist/0kETc6XgDDB8gjDKLZPKoy
Elwood AU,spotify:user:thesoundsofspotify:playlist:70gAkJkKM15qOEICGxEBuL,http://open.spotify.com/user/thesoundsofspotify/playlist/70gAkJkKM15qOEICGxEBuL
Emmen NL,spotify:user:thesoundsofspotify:playlist:5L5ShO2iUUDVjZ78Ahm88x,http://open.spotify.com/user/thesoundsofspotify/playlist/5L5ShO2iUUDVjZ78Ahm88x
Enfield GB,spotify:user:thesoundsofspotify:playlist:7Cy3876NzSu88DNrqeNX1a,http://open.spotify.com/user/thesoundsofspotify/playlist/7Cy3876NzSu88DNrqeNX1a
Enköping SE,spotify:user:thesoundsofspotify:playlist:39SsLtzM8o4cQX2JNoVXT5,http://open.spotify.com/user/thesoundsofspotify/playlist/39SsLtzM8o4cQX2JNoVXT5
Enschede NL,spotify:user:thesoundsofspotify:playlist:1pWHdJjCaWNRsIp66q2Lgb,http://open.spotify.com/user/thesoundsofspotify/playlist/1pWHdJjCaWNRsIp66q2Lgb
Ensenada MX,spotify:user:thesoundsofspotify:playlist:77XgdG24ACXetz2vfXZE9R,http://open.spotify.com/user/thesoundsofspotify/playlist/77XgdG24ACXetz2vfXZE9R
Enskede SE,spotify:user:thesoundsofspotify:playlist:2PVBqdl5fw1agLLvIFdBgo,http://open.spotify.com/user/thesoundsofspotify/playlist/2PVBqdl5fw1agLLvIFdBgo
Epping AU,spotify:user:thesoundsofspotify:playlist:5gGaHl8mF18NavWZ0dPbgO,http://open.spotify.com/user/thesoundsofspotify/playlist/5gGaHl8mF18NavWZ0dPbgO
Erfurt DE,spotify:user:thesoundsofspotify:playlist:5sLcY2vLFLs78FXMBGG4Ob,http://open.spotify.com/user/thesoundsofspotify/playlist/5sLcY2vLFLs78FXMBGG4Ob
Erkrath DE,spotify:user:thesoundsofspotify:playlist:5vCdgy8Km09crd1YUccvVv,http://open.spotify.com/user/thesoundsofspotify/playlist/5vCdgy8Km09crd1YUccvVv
Erlangen DE,spotify:user:thesoundsofspotify:playlist:6Jcic9kIhHI8OhWVBFM5Jp,http://open.spotify.com/user/thesoundsofspotify/playlist/6Jcic9kIhHI8OhWVBFM5Jp
Ermont FR,spotify:user:thesoundsofspotify:playlist:24KwBEndDYzNkQCoNiEac9,http://open.spotify.com/user/thesoundsofspotify/playlist/24KwBEndDYzNkQCoNiEac9
Esbjerg DK,spotify:user:thesoundsofspotify:playlist:6I73n99JA4s0D5mSkYtT1G,http://open.spotify.com/user/thesoundsofspotify/playlist/6I73n99JA4s0D5mSkYtT1G
Espoo FI,spotify:user:thesoundsofspotify:playlist:1Y2pxVsiuD6tIY9Bf7ZBfL,http://open.spotify.com/user/thesoundsofspotify/playlist/1Y2pxVsiuD6tIY9Bf7ZBfL
